census_id,state_abbreviation,county_name,eligible_locations,reserve_price
211499702002,KY,McLean,274,135875
211499702003,KY,McLean,42,46812
211499705001,KY,McLean,322,99635
211499705002,KY,McLean,307,173778
211499705003,KY,McLean,20,6575
211510101011,KY,Madison,192,116617
211510101022,KY,Madison,7,1050
211510101023,KY,Madison,13,7536
211510107011,KY,Madison,24,8820
211510108001,KY,Madison,397,141742
211510108002,KY,Madison,187,122077
211510108003,KY,Madison,22,11213
211510109011,KY,Madison,26,15678
211510109021,KY,Madison,6,4281
211510110002,KY,Madison,14,17378
211510110003,KY,Madison,15,1685
211510110004,KY,Madison,229,49760
211510111002,KY,Madison,91,12128
211510111003,KY,Madison,16,3916
211510112001,KY,Madison,16,4136
211510112003,KY,Madison,1,973
211510114001,KY,Madison,36,24116
211510114002,KY,Madison,1,390
211559702003,KY,Marion,38,16802
211559702004,KY,Marion,5,968
211559703001,KY,Marion,48,29520
211559704001,KY,Marion,19,13870
211559704002,KY,Marion,33,24193
211559705001,KY,Marion,171,94976
211559705002,KY,Marion,59,33606
211559707001,KY,Marion,100,66239
211559707003,KY,Marion,43,45808
211559707004,KY,Marion,12,1161
211559708001,KY,Marion,56,49570
211559708002,KY,Marion,82,63986
211579501001,KY,Marshall,6,1616
211579501002,KY,Marshall,40,15095
211579501003,KY,Marshall,20,4356
211579501004,KY,Marshall,2,760
211579502001,KY,Marshall,9,865
211579502002,KY,Marshall,4,2177
211579502003,KY,Marshall,4,965
211579503001,KY,Marshall,79,19803
211579503002,KY,Marshall,11,569
211579503003,KY,Marshall,1,44
211579504001,KY,Marshall,1,73
211579504003,KY,Marshall,7,6070
211579505001,KY,Marshall,41,25788
211579505002,KY,Marshall,53,24862
211579505003,KY,Marshall,4,447
211579506001,KY,Marshall,17,3084
211579506004,KY,Marshall,5,821
211599501002,KY,Martin,1,928
211599502001,KY,Martin,2,338
211599502004,KY,Martin,16,7474
211599502005,KY,Martin,8,13216
211599502006,KY,Martin,11,5257
211599503001,KY,Martin,3,2110
211619601001,KY,Mason,276,54523
211619601002,KY,Mason,17,6217
211619601003,KY,Mason,125,46904
211619602001,KY,Mason,1,45
211619602002,KY,Mason,27,2710
211619602003,KY,Mason,14,503
211619602004,KY,Mason,36,1731
211619603001,KY,Mason,63,10559
211619603002,KY,Mason,53,6484
211619603003,KY,Mason,35,3256
211619603004,KY,Mason,173,32731
211619604001,KY,Mason,88,48685
211619604002,KY,Mason,95,59246
211619604003,KY,Mason,39,10870
211619604004,KY,Mason,69,9260
211619605001,KY,Mason,359,235350
211679601001,KY,Mercer,28,17568
211679601003,KY,Mercer,9,3488
211679601004,KY,Mercer,2,541
211679603001,KY,Mercer,4,2057
211679605001,KY,Mercer,29,13009
211699602003,KY,Metcalfe,3,4749
211719301001,KY,Monroe,12,8920
211719303001,KY,Monroe,3,2744
211719303002,KY,Monroe,10,4371
211719304001,KY,Monroe,15,11593
211719304002,KY,Monroe,16,23463
211719304003,KY,Monroe,7,6277
211739201002,KY,Montgomery,119,33459
211739202004,KY,Montgomery,153,70284
211739202005,KY,Montgomery,24,3652
211739203011,KY,Montgomery,58,4797
211739204001,KY,Montgomery,133,26884
211739204002,KY,Montgomery,119,22791
211739204003,KY,Montgomery,36,17634
211739205002,KY,Montgomery,3,2799
211779601001,KY,Muhlenberg,250,112158
211779602001,KY,Muhlenberg,188,49552
211779602002,KY,Muhlenberg,2,112
211779602003,KY,Muhlenberg,1,582
211779602005,KY,Muhlenberg,3,3039
211779602006,KY,Muhlenberg,10,531
211779603001,KY,Muhlenberg,3,7
211779603002,KY,Muhlenberg,194,45786
211779603003,KY,Muhlenberg,141,53549
211779604001,KY,Muhlenberg,2,3582
211779604002,KY,Muhlenberg,47,32566
211779604003,KY,Muhlenberg,91,23885
211779604004,KY,Muhlenberg,200,127471
211779604005,KY,Muhlenberg,31,5174
211779605001,KY,Muhlenberg,61,20866
211779606001,KY,Muhlenberg,8,3753
211779606002,KY,Muhlenberg,3,723
211779606003,KY,Muhlenberg,10,4202
211779607001,KY,Muhlenberg,116,78407
211779607003,KY,Muhlenberg,20,7101
211779607004,KY,Muhlenberg,2,454
211779608001,KY,Muhlenberg,23,15529
211779608002,KY,Muhlenberg,253,101387
